condition,stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,session,participant,frameRate,expName,counterbalance,date,
incongruent,X,0,0,0,0,m,1,0.502923965454,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,X,0,1,1,1,m,1,0.502586126328,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
incongruent,O,0,2,2,2,m,1,0.152793884277,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,O,0,3,3,3,m,1,1.70483207703,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
incongruent,X,1,0,4,0,None,0,,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,X,1,1,5,1,m,1,0.119616031647,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
incongruent,O,1,2,6,2,m,1,0.268476009369,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,O,1,3,7,3,m,1,0.186758041382,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
incongruent,X,2,0,8,0,m,1,0.685030937195,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,X,2,1,9,1,m,1,0.169142961502,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
incongruent,O,2,2,10,2,m,1,0.302963018417,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
congruent,O,2,3,11,3,m,1,0.235780000687,001,mridul,59.94020704596512,simon,0,2018_May_03_2015,
