9.1250 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.8185 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1160ef650>, multiSample=False, name='window1', numSamples=2, pos=[-720, -450], screen=0, size=array([2880, 1800]), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
9.8185 	EXP 	window1: recordFrameIntervals = False
9.9844 	EXP 	window1: recordFrameIntervals = True
10.2182 	EXP 	window1: recordFrameIntervals = False
10.4516 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
10.4606 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='target', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
10.4850 	EXP 	instrText: autoDraw = True
16.5900 	DATA 	Keypress: left
16.5979 	EXP 	Imported conditions.csv as conditions, 6 conditions, 4 params
16.6002 	EXP 	Created sequence: random, trialTypes=6, nReps=5, seed=None
16.6006 	EXP 	New trial (rep=0, index=0): OrderedDict([(u'word', u'blue'), (u'color', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
16.6194 	EXP 	instrText: autoDraw = False
16.6194 	EXP 	target: color = u'red (named)'
16.6194 	EXP 	target: text = u'blue'
17.1197 	EXP 	target: autoDraw = True
18.1718 	DATA 	Keypress: down
18.1731 	EXP 	New trial (rep=0, index=1): OrderedDict([(u'word', u'red'), (u'color', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
18.1857 	EXP 	target: autoDraw = False
18.1857 	EXP 	target: color = u'green (named)'
18.1857 	EXP 	target: text = u'red'
18.7035 	EXP 	target: autoDraw = True
20.5554 	DATA 	Keypress: down
20.5716 	EXP 	New trial (rep=0, index=2): OrderedDict([(u'word', u'green'), (u'color', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
20.5859 	EXP 	target: autoDraw = False
20.5859 	EXP 	target: color = u'blue (named)'
20.5859 	EXP 	target: text = u'green'
21.1036 	EXP 	target: autoDraw = True
22.7391 	DATA 	Keypress: right
22.7405 	EXP 	New trial (rep=0, index=3): OrderedDict([(u'word', u'green'), (u'color', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
22.7525 	EXP 	target: autoDraw = False
22.7525 	EXP 	target: color = u'green (named)'
22.7525 	EXP 	target: text = u'green'
23.2705 	EXP 	target: autoDraw = True
24.1892 	DATA 	Keypress: right
24.1902 	EXP 	New trial (rep=0, index=4): OrderedDict([(u'word', u'blue'), (u'color', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
24.2022 	EXP 	target: autoDraw = False
24.2022 	EXP 	target: color = u'blue (named)'
24.2022 	EXP 	target: text = u'blue'
24.7204 	EXP 	target: autoDraw = True
25.3556 	DATA 	Keypress: left
25.3568 	EXP 	New trial (rep=0, index=5): OrderedDict([(u'word', u'red'), (u'color', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
25.3708 	EXP 	target: autoDraw = False
25.3708 	EXP 	target: color = u'red (named)'
25.3708 	EXP 	target: text = u'red'
25.8859 	EXP 	target: autoDraw = True
26.6218 	DATA 	Keypress: right
26.6229 	EXP 	New trial (rep=1, index=0): OrderedDict([(u'word', u'blue'), (u'color', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
26.6366 	EXP 	target: autoDraw = False
26.6366 	EXP 	target: color = u'blue (named)'
26.6366 	EXP 	target: text = u'blue'
27.1541 	EXP 	target: autoDraw = True
28.0399 	DATA 	Keypress: left
28.0411 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'word', u'green'), (u'color', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
28.0534 	EXP 	target: autoDraw = False
28.0534 	EXP 	target: color = u'blue (named)'
28.0534 	EXP 	target: text = u'green'
28.5707 	EXP 	target: autoDraw = True
28.8890 	DATA 	Keypress: right
28.8901 	EXP 	New trial (rep=1, index=2): OrderedDict([(u'word', u'green'), (u'color', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
28.9046 	EXP 	target: autoDraw = False
28.9046 	EXP 	target: color = u'green (named)'
28.9046 	EXP 	target: text = u'green'
29.1727 	DATA 	Keypress: left
29.4209 	EXP 	target: autoDraw = True
29.7720 	DATA 	Keypress: right
29.7730 	EXP 	New trial (rep=1, index=3): OrderedDict([(u'word', u'blue'), (u'color', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
29.7875 	EXP 	target: autoDraw = False
29.7875 	EXP 	target: color = u'red (named)'
29.7875 	EXP 	target: text = u'blue'
30.1556 	DATA 	Keypress: left
30.3043 	EXP 	target: autoDraw = True
30.6392 	DATA 	Keypress: right
30.6404 	EXP 	New trial (rep=1, index=4): OrderedDict([(u'word', u'red'), (u'color', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
30.6541 	EXP 	target: autoDraw = False
30.6541 	EXP 	target: color = u'red (named)'
30.6541 	EXP 	target: text = u'red'
31.1707 	EXP 	target: autoDraw = True
31.2229 	DATA 	Keypress: left
31.2240 	EXP 	New trial (rep=1, index=5): OrderedDict([(u'word', u'red'), (u'color', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
31.2386 	EXP 	target: autoDraw = False
31.2386 	EXP 	target: color = u'green (named)'
31.2386 	EXP 	target: text = u'red'
31.7539 	EXP 	target: autoDraw = True
31.8224 	DATA 	Keypress: left
31.8233 	EXP 	New trial (rep=2, index=0): OrderedDict([(u'word', u'green'), (u'color', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
31.8370 	EXP 	target: autoDraw = False
31.8370 	EXP 	target: color = u'blue (named)'
31.8370 	EXP 	target: text = u'green'
32.3536 	EXP 	target: autoDraw = True
32.4906 	DATA 	Keypress: down
32.4916 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'word', u'red'), (u'color', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
32.5041 	EXP 	target: autoDraw = False
32.5041 	EXP 	target: color = u'red (named)'
32.5041 	EXP 	target: text = u'red'
33.0211 	EXP 	target: autoDraw = True
33.2059 	DATA 	Keypress: right
33.2070 	EXP 	New trial (rep=2, index=2): OrderedDict([(u'word', u'red'), (u'color', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
33.2212 	EXP 	target: autoDraw = False
33.2212 	EXP 	target: color = u'green (named)'
33.2212 	EXP 	target: text = u'red'
33.7385 	EXP 	target: autoDraw = True
33.7725 	DATA 	Keypress: down
33.7735 	EXP 	New trial (rep=2, index=3): OrderedDict([(u'word', u'blue'), (u'color', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
33.7875 	EXP 	target: autoDraw = False
33.7875 	EXP 	target: color = u'blue (named)'
33.7875 	EXP 	target: text = u'blue'
34.1897 	DATA 	Keypress: down
34.3040 	EXP 	target: autoDraw = True
34.5394 	DATA 	Keypress: left
34.5404 	EXP 	New trial (rep=2, index=4): OrderedDict([(u'word', u'blue'), (u'color', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
34.5542 	EXP 	target: autoDraw = False
34.5542 	EXP 	target: color = u'red (named)'
34.5542 	EXP 	target: text = u'blue'
35.0715 	EXP 	target: autoDraw = True
35.1082 	DATA 	Keypress: left
35.1094 	EXP 	New trial (rep=2, index=5): OrderedDict([(u'word', u'green'), (u'color', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
35.1219 	EXP 	target: autoDraw = False
35.1219 	EXP 	target: color = u'green (named)'
35.1219 	EXP 	target: text = u'green'
35.6379 	EXP 	target: autoDraw = True
35.7404 	DATA 	Keypress: down
35.7417 	EXP 	New trial (rep=3, index=0): OrderedDict([(u'word', u'blue'), (u'color', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
35.7547 	EXP 	target: autoDraw = False
35.7547 	EXP 	target: color = u'blue (named)'
35.7547 	EXP 	target: text = u'blue'
36.0567 	DATA 	Keypress: down
36.2716 	EXP 	target: autoDraw = True
36.5886 	DATA 	Keypress: right
36.5894 	EXP 	New trial (rep=3, index=1): OrderedDict([(u'word', u'green'), (u'color', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
36.6046 	EXP 	target: autoDraw = False
36.6046 	EXP 	target: color = u'blue (named)'
36.6046 	EXP 	target: text = u'green'
37.1219 	EXP 	target: autoDraw = True
37.1584 	DATA 	Keypress: left
37.1595 	EXP 	New trial (rep=3, index=2): OrderedDict([(u'word', u'blue'), (u'color', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
37.1713 	EXP 	target: autoDraw = False
37.1713 	EXP 	target: color = u'red (named)'
37.1713 	EXP 	target: text = u'blue'
37.4901 	DATA 	Keypress: right
37.6884 	EXP 	target: autoDraw = True
38.0900 	DATA 	Keypress: left
38.0911 	EXP 	New trial (rep=3, index=3): OrderedDict([(u'word', u'green'), (u'color', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
38.1044 	EXP 	target: autoDraw = False
38.1044 	EXP 	target: color = u'green (named)'
38.1044 	EXP 	target: text = u'green'
38.5588 	DATA 	Keypress: right
38.6219 	EXP 	target: autoDraw = True
38.9567 	DATA 	Keypress: left
38.9577 	EXP 	New trial (rep=3, index=4): OrderedDict([(u'word', u'red'), (u'color', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
38.9730 	EXP 	target: autoDraw = False
38.9730 	EXP 	target: color = u'green (named)'
38.9730 	EXP 	target: text = u'red'
39.4887 	EXP 	target: autoDraw = True
39.5577 	DATA 	Keypress: right
39.5588 	EXP 	New trial (rep=3, index=5): OrderedDict([(u'word', u'red'), (u'color', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
39.5717 	EXP 	target: autoDraw = False
39.5717 	EXP 	target: color = u'red (named)'
39.5717 	EXP 	target: text = u'red'
40.0883 	EXP 	target: autoDraw = True
40.2240 	DATA 	Keypress: left
40.2252 	EXP 	New trial (rep=4, index=0): OrderedDict([(u'word', u'blue'), (u'color', u'red'), (u'congruent', 0), (u'corrAns', u'left')])
40.2394 	EXP 	target: autoDraw = False
40.2394 	EXP 	target: color = u'red (named)'
40.2394 	EXP 	target: text = u'blue'
40.5575 	DATA 	Keypress: right
40.7553 	EXP 	target: autoDraw = True
41.0913 	DATA 	Keypress: right
41.0924 	EXP 	New trial (rep=4, index=1): OrderedDict([(u'word', u'green'), (u'color', u'blue'), (u'congruent', 0), (u'corrAns', u'right')])
41.1058 	EXP 	target: autoDraw = False
41.1058 	EXP 	target: color = u'blue (named)'
41.1058 	EXP 	target: text = u'green'
41.6226 	EXP 	target: autoDraw = True
41.7089 	DATA 	Keypress: right
41.7099 	EXP 	New trial (rep=4, index=2): OrderedDict([(u'word', u'red'), (u'color', u'red'), (u'congruent', 1), (u'corrAns', u'left')])
41.7226 	EXP 	target: autoDraw = False
41.7226 	EXP 	target: color = u'red (named)'
41.7226 	EXP 	target: text = u'red'
42.2392 	EXP 	target: autoDraw = True
42.3402 	DATA 	Keypress: right
42.3412 	EXP 	New trial (rep=4, index=3): OrderedDict([(u'word', u'green'), (u'color', u'green'), (u'congruent', 1), (u'corrAns', u'down')])
42.3559 	EXP 	target: autoDraw = False
42.3559 	EXP 	target: color = u'green (named)'
42.3559 	EXP 	target: text = u'green'
42.8724 	EXP 	target: autoDraw = True
42.9920 	DATA 	Keypress: right
42.9930 	EXP 	New trial (rep=4, index=4): OrderedDict([(u'word', u'blue'), (u'color', u'blue'), (u'congruent', 1), (u'corrAns', u'right')])
43.0065 	EXP 	target: autoDraw = False
43.0065 	EXP 	target: color = u'blue (named)'
43.0065 	EXP 	target: text = u'blue'
43.5233 	EXP 	target: autoDraw = True
43.6250 	DATA 	Keypress: right
43.6262 	EXP 	New trial (rep=4, index=5): OrderedDict([(u'word', u'red'), (u'color', u'green'), (u'congruent', 0), (u'corrAns', u'down')])
43.6386 	EXP 	target: autoDraw = False
43.6386 	EXP 	target: color = u'green (named)'
43.6386 	EXP 	target: text = u'red'
44.1555 	EXP 	target: autoDraw = True
44.2420 	DATA 	Keypress: right
44.5726 	EXP 	window1: mouseVisible = True
